,0
0,-0.05849999189376831
1,-0.05209994316101074
2,-0.04900002479553223
3,-0.00019997358322143555
4,-0.08270001411437988
5,-0.05579996109008789
6,-0.10150003433227539
7,-0.05330002307891846
8,-0.07099997997283936
9,-0.03279995918273926
10,-0.005200028419494629
11,-0.010500013828277588
12,-0.09209996461868286
13,-0.017300009727478027
14,0.0004000067710876465
15,-0.04350000619888306
16,0.002400040626525879
17,-0.09280002117156982
18,-0.0018999576568603516
19,0.0012000203132629395
20,-0.07599997520446777
21,-0.001699984073638916
22,-0.0437999963760376
23,-0.0843999981880188
24,-0.04919999837875366
25,-0.011500000953674316
26,-0.055599987506866455
27,-0.023800015449523926
28,-0.021700024604797363
29,-0.01130002737045288
30,-0.033600032329559326
31,-0.03799998760223389
32,-0.004100024700164795
33,-0.05119997262954712
34,-0.05960005521774292
35,-0.059800028800964355
36,-0.07600003480911255
37,-0.017499983310699463
38,-0.09959995746612549
39,-0.05590003728866577
40,-0.03519999980926514
41,-0.0835999846458435
42,0.0
43,-0.000599980354309082
44,-0.02820003032684326
45,-0.11729997396469116
46,-0.0040999650955200195
47,-0.02869999408721924
48,-0.057000041007995605
49,-0.013000011444091797
