,0
0,-0.02599996328353882
1,-0.000500023365020752
2,-0.000899970531463623
3,-0.021799981594085693
4,0.0010999441146850586
5,-0.003500044345855713
6,0.0
7,-0.000500023365020752
8,-0.0012999773025512695
9,-0.0020999908447265625
10,-0.03559994697570801
11,-0.018699944019317627
12,-0.0004000067710876465
13,-0.014800012111663818
14,-0.000299990177154541
15,-0.07479995489120483
16,-0.0004000067710876465
17,-0.0029999613761901855
18,-0.0018999576568603516
19,-0.0045999884605407715
20,-0.037499964237213135
21,0.00010001659393310547
22,-0.000800013542175293
23,-0.1972000002861023
24,-0.0034999847412109375
25,-0.013300001621246338
26,-0.001399993896484375
27,-0.006900012493133545
28,-0.018800020217895508
29,0.0003000497817993164
30,-0.020200014114379883
31,-0.0048999786376953125
32,-0.01669996976852417
33,-0.007300019264221191
34,-0.012499988079071045
35,-0.04539996385574341
36,-0.0037000179290771484
37,0.0004000067710876465
38,-0.060899972915649414
39,-0.008599996566772461
40,-0.0012999773025512695
41,-0.011200010776519775
42,-0.004500031471252441
43,-0.007400035858154297
44,-0.005899965763092041
45,-0.00010001659393310547
46,-0.0040999650955200195
47,-0.016000032424926758
48,-0.055899977684020996
49,-0.0020000338554382324
