,0
0,-0.10470002889633179
1,-0.18059998750686646
2,-0.06889998912811279
3,-0.09769999980926514
4,-0.017499983310699463
5,-0.17239999771118164
6,-0.03780001401901245
7,-0.0163000226020813
8,-0.0461999773979187
9,-0.0037999749183654785
10,-0.0026000142097473145
11,-0.17570000886917114
12,0.00010001659393310547
13,-0.0363999605178833
14,-0.005900025367736816
15,-0.008400022983551025
16,-0.07690000534057617
17,-0.022900044918060303
18,-0.243399977684021
19,-0.07490003108978271
20,-0.002200007438659668
21,-0.11470001935958862
22,-0.09520000219345093
23,-0.15700000524520874
24,-0.023299992084503174
25,-0.10809999704360962
26,-0.001699984073638916
27,-0.19499999284744263
28,-0.1615999937057495
29,-0.1152999997138977
30,-0.13760000467300415
31,-0.1532999873161316
32,-0.0634000301361084
33,-0.002200007438659668
34,-0.04430001974105835
35,-0.001999974250793457
36,-0.003600001335144043
37,-0.24020004272460938
38,-0.11860001087188721
39,-0.07200002670288086
40,-0.013500034809112549
41,-0.20430004596710205
42,-0.12669998407363892
43,-0.06949996948242188
44,-0.00950002670288086
45,-0.19589996337890625
46,-0.06330001354217529
47,-0.04790002107620239
48,-0.1259000301361084
49,-0.09549999237060547
