,Zero Nodes,Worse Nodes,Important Nodes
0,6.0,24.0,98.0
1,3.0,19.0,106.0
2,2.0,24.0,102.0
3,1.0,2.0,125.0
4,2.0,11.0,115.0
5,4.0,23.0,101.0
6,1.0,24.0,103.0
7,2.0,22.0,104.0
8,3.0,11.0,114.0
9,4.0,25.0,99.0
10,3.0,13.0,112.0
11,1.0,34.0,93.0
12,1.0,15.0,112.0
13,7.0,14.0,107.0
14,1.0,26.0,101.0
15,2.0,16.0,110.0
16,3.0,18.0,107.0
17,3.0,24.0,101.0
18,0.0,15.0,113.0
19,1.0,20.0,107.0
20,6.0,33.0,89.0
21,6.0,20.0,102.0
22,1.0,23.0,104.0
23,6.0,19.0,103.0
24,2.0,18.0,108.0
25,3.0,15.0,110.0
26,7.0,10.0,111.0
27,4.0,14.0,110.0
28,2.0,17.0,109.0
29,4.0,14.0,110.0
30,5.0,9.0,114.0
31,3.0,21.0,104.0
32,2.0,22.0,104.0
33,5.0,21.0,102.0
34,4.0,12.0,112.0
35,3.0,12.0,113.0
36,3.0,21.0,104.0
37,3.0,15.0,110.0
38,7.0,23.0,98.0
39,2.0,19.0,107.0
40,2.0,24.0,102.0
41,1.0,26.0,101.0
42,4.0,24.0,100.0
43,1.0,23.0,104.0
44,4.0,15.0,109.0
45,4.0,17.0,107.0
46,2.0,9.0,117.0
47,2.0,10.0,116.0
48,1.0,21.0,106.0
49,0.0,17.0,111.0
