,Zero Nodes,Worse Nodes,Important Nodes
0,3.0,2.0,27.0
1,3.0,7.0,22.0
2,1.0,7.0,24.0
3,6.0,1.0,25.0
4,2.0,4.0,26.0
5,1.0,1.0,30.0
6,2.0,4.0,26.0
7,2.0,5.0,25.0
8,3.0,2.0,27.0
9,1.0,3.0,28.0
10,3.0,3.0,26.0
11,1.0,4.0,27.0
12,1.0,3.0,28.0
13,2.0,1.0,29.0
14,1.0,3.0,28.0
15,7.0,5.0,20.0
16,4.0,1.0,27.0
17,4.0,2.0,26.0
18,0.0,4.0,28.0
19,4.0,5.0,23.0
20,5.0,2.0,25.0
21,0.0,7.0,25.0
22,2.0,2.0,28.0
23,2.0,1.0,29.0
24,5.0,7.0,20.0
25,3.0,5.0,24.0
26,2.0,4.0,26.0
27,1.0,1.0,30.0
28,5.0,2.0,25.0
29,4.0,1.0,27.0
30,3.0,4.0,25.0
31,1.0,4.0,27.0
32,4.0,6.0,22.0
33,3.0,0.0,29.0
34,1.0,0.0,31.0
35,3.0,0.0,29.0
36,5.0,4.0,23.0
37,6.0,4.0,22.0
38,0.0,5.0,27.0
39,2.0,2.0,28.0
40,0.0,6.0,26.0
41,1.0,5.0,26.0
42,3.0,8.0,21.0
43,4.0,1.0,27.0
44,3.0,6.0,23.0
45,2.0,2.0,28.0
46,2.0,0.0,30.0
47,2.0,4.0,26.0
48,2.0,8.0,22.0
49,1.0,1.0,30.0
