,0,1,2,3,4,5,6,7,8,9
0,0.746,0.863,0.618,0.539,0.721,0.66,0.805,0.79,0.831,0.798
1,0.79,0.881,0.587,0.515,0.72,0.661,0.826,0.749,0.838,0.828
2,0.795,0.867,0.513,0.542,0.714,0.657,0.823,0.752,0.845,0.797
3,0.765,0.837,0.553,0.517,0.702,0.637,0.841,0.771,0.85,0.783
4,0.772,0.842,0.645,0.499,0.713,0.621,0.82,0.775,0.839,0.8
5,0.771,0.834,0.565,0.514,0.739,0.649,0.787,0.753,0.835,0.816
6,0.799,0.863,0.612,0.524,0.696,0.669,0.845,0.764,0.845,0.813
7,0.773,0.83,0.601,0.526,0.684,0.615,0.807,0.807,0.815,0.812
8,0.77,0.858,0.588,0.521,0.67,0.691,0.801,0.781,0.841,0.806
9,0.738,0.879,0.625,0.564,0.717,0.565,0.844,0.797,0.822,0.788
