,0,1,2,3,4,5,6,7,8,9
0,0.893,0.987,0.862,0.938,0.869,0.984,0.693,0.976,0.982,0.954
1,0.864,0.986,0.884,0.931,0.877,0.977,0.708,0.97,0.986,0.957
2,0.893,0.984,0.872,0.937,0.856,0.967,0.709,0.979,0.986,0.959
3,0.886,0.978,0.845,0.93,0.872,0.983,0.693,0.985,0.985,0.955
4,0.879,0.983,0.863,0.911,0.898,0.986,0.7,0.985,0.987,0.944
5,0.878,0.982,0.858,0.927,0.862,0.979,0.737,0.978,0.984,0.963
6,0.864,0.979,0.867,0.934,0.842,0.97,0.739,0.974,0.975,0.966
7,0.856,0.982,0.873,0.923,0.851,0.98,0.751,0.978,0.981,0.957
8,0.878,0.985,0.877,0.923,0.849,0.987,0.715,0.978,0.983,0.959
9,0.889,0.988,0.882,0.925,0.866,0.987,0.704,0.974,0.989,0.957
