,Layer 3,Layer 2,Layer 1
0,4,13,36
1,5,15,25
2,7,22,45
3,6,14,37
4,5,16,31
5,4,14,28
6,6,13,19
7,7,16,47
8,9,23,44
9,6,10,22
10,6,21,37
11,8,22,50
12,7,18,40
13,6,19,34
14,6,10,27
15,6,10,28
16,8,13,39
17,6,9,33
18,6,12,30
19,5,19,42
20,6,5,23
21,6,12,40
22,9,21,33
23,8,10,40
24,11,27,49
25,5,14,38
26,6,20,35
27,7,10,39
28,5,15,38
29,5,8,31
30,5,17,48
31,8,17,28
32,8,14,34
33,3,14,35
34,7,15,35
35,12,24,47
36,7,19,33
37,7,22,49
38,8,10,36
39,10,28,43
40,7,14,32
41,7,20,34
42,5,11,25
43,7,15,41
44,3,9,25
45,3,10,33
46,8,29,48
47,2,15,36
48,5,12,22
49,4,15,34
