,0,1,2,3,4,5,6,7,8,9
0,0.739,0.839,0.657,0.594,0.63,0.681,0.721,0.737,0.846,0.887
1,0.846,0.845,0.613,0.499,0.73,0.66,0.798,0.766,0.773,0.867
2,0.71,0.852,0.743,0.485,0.645,0.577,0.867,0.767,0.845,0.799
3,0.811,0.874,0.557,0.364,0.708,0.733,0.876,0.766,0.863,0.715
4,0.787,0.872,0.684,0.406,0.678,0.59,0.811,0.845,0.846,0.829
5,0.727,0.819,0.614,0.459,0.792,0.693,0.793,0.738,0.814,0.819
6,0.799,0.894,0.691,0.54,0.706,0.677,0.802,0.716,0.823,0.807
7,0.792,0.791,0.549,0.491,0.729,0.62,0.878,0.812,0.751,0.837
8,0.869,0.87,0.644,0.552,0.567,0.671,0.772,0.763,0.817,0.806
9,0.789,0.83,0.642,0.61,0.704,0.434,0.774,0.825,0.864,0.824
