,0,1,2,3,4,5,6,7,8,9
0,0.841,0.987,0.822,0.938,0.86,0.99,0.775,0.962,0.986,0.949
1,0.905,0.986,0.887,0.93,0.897,0.966,0.608,0.964,0.994,0.975
2,0.817,0.985,0.839,0.909,0.879,0.951,0.791,0.964,0.984,0.975
3,0.92,0.985,0.908,0.923,0.804,0.974,0.63,0.98,0.985,0.963
4,0.854,0.989,0.888,0.88,0.901,0.986,0.702,0.975,0.992,0.966
5,0.815,0.985,0.827,0.938,0.889,0.98,0.783,0.984,0.988,0.954
6,0.828,0.984,0.8,0.95,0.856,0.981,0.786,0.942,0.988,0.978
7,0.828,0.988,0.863,0.918,0.878,0.984,0.756,0.99,0.988,0.949
8,0.881,0.983,0.896,0.889,0.863,0.988,0.7,0.967,0.989,0.964
9,0.836,0.984,0.836,0.938,0.864,0.994,0.794,0.967,0.988,0.96
