,Zero Nodes,Worse Nodes,Important Nodes
0,17.0,7.0,104.0
1,16.0,17.0,95.0
2,18.0,18.0,92.0
3,11.0,21.0,96.0
4,18.0,15.0,95.0
5,22.0,20.0,86.0
6,16.0,18.0,94.0
7,17.0,25.0,86.0
8,15.0,22.0,91.0
9,15.0,10.0,103.0
10,22.0,10.0,96.0
11,13.0,19.0,96.0
12,14.0,24.0,90.0
13,15.0,18.0,95.0
14,15.0,20.0,93.0
15,15.0,25.0,88.0
16,12.0,10.0,106.0
17,23.0,25.0,80.0
18,15.0,17.0,96.0
19,18.0,28.0,82.0
20,15.0,26.0,87.0
21,13.0,19.0,96.0
22,8.0,36.0,84.0
23,15.0,14.0,99.0
24,13.0,17.0,98.0
25,8.0,28.0,92.0
26,14.0,20.0,94.0
27,18.0,21.0,89.0
28,17.0,16.0,95.0
29,12.0,26.0,90.0
30,17.0,29.0,82.0
31,17.0,21.0,90.0
32,15.0,12.0,101.0
33,19.0,9.0,100.0
34,15.0,29.0,84.0
35,13.0,29.0,86.0
36,14.0,17.0,97.0
37,17.0,26.0,85.0
38,13.0,20.0,95.0
39,20.0,28.0,80.0
40,14.0,9.0,105.0
41,19.0,10.0,99.0
42,18.0,31.0,79.0
43,11.0,6.0,111.0
44,24.0,16.0,88.0
45,22.0,22.0,84.0
46,16.0,26.0,86.0
47,21.0,30.0,77.0
48,18.0,15.0,95.0
49,20.0,21.0,87.0
