,Zero Nodes,Worse Nodes,Important Nodes
0,0.0,16.0,112.0
1,4.0,9.0,115.0
2,3.0,10.0,115.0
3,4.0,12.0,112.0
4,2.0,6.0,120.0
5,4.0,18.0,106.0
6,1.0,19.0,108.0
7,1.0,14.0,113.0
8,2.0,18.0,108.0
9,2.0,9.0,117.0
10,4.0,9.0,115.0
11,1.0,4.0,123.0
12,0.0,13.0,115.0
13,1.0,22.0,105.0
14,4.0,13.0,111.0
15,2.0,9.0,117.0
16,0.0,24.0,104.0
17,4.0,6.0,118.0
18,1.0,27.0,100.0
19,5.0,11.0,112.0
20,0.0,27.0,101.0
21,4.0,16.0,108.0
22,1.0,8.0,119.0
23,0.0,27.0,101.0
24,3.0,18.0,107.0
25,5.0,16.0,107.0
26,3.0,13.0,112.0
27,3.0,9.0,116.0
28,3.0,19.0,106.0
29,2.0,12.0,114.0
30,3.0,20.0,105.0
31,3.0,22.0,103.0
32,1.0,9.0,118.0
33,3.0,8.0,117.0
34,3.0,14.0,111.0
35,3.0,20.0,105.0
36,2.0,4.0,122.0
37,3.0,15.0,110.0
38,3.0,17.0,108.0
39,4.0,13.0,111.0
40,1.0,6.0,121.0
41,3.0,21.0,104.0
42,3.0,8.0,117.0
43,2.0,13.0,113.0
44,1.0,13.0,114.0
45,3.0,12.0,113.0
46,0.0,17.0,111.0
47,1.0,12.0,115.0
48,0.0,8.0,120.0
49,2.0,7.0,119.0
